GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calorieWork,default,IWeekLogicTest,101,0,4,0,21,0,9,0,7,0
calorieWork,default,Main,31,0,0,0,9,0,3,0,3,0
calorieWork,model.enumerators,EWeekDayTypes,0,74,0,0,0,8,0,1,0,1
calorieWork,model.enumerators,EFoodTypes,0,34,0,0,0,4,0,1,0,1
calorieWork,controller,FoodController,169,0,6,0,47,0,9,0,6,0
calorieWork,controller,FoodController.1.new ListCell() {...},35,0,2,0,6,0,3,0,2,0
calorieWork,controller,WeekController,313,0,2,0,45,0,12,0,11,0
calorieWork,controller,FoodController.new Callback() {...},13,0,0,0,3,0,2,0,2,0
calorieWork,controller,MainController,91,0,0,0,26,0,5,0,5,0
calorieWork,dao,DataAccessObject,87,0,0,0,25,0,4,0,4,0
calorieWork,model,Food,25,15,0,0,5,6,4,2,4,2
calorieWork,model,Week,83,96,21,7,19,22,13,8,2,5
